DNS               Host              Domain                      Address           Real      
114.114.114.114   10.0.0.22         baidu.com                   110.242.68.66     0m0.036s  
114.114.114.114   10.0.0.22         baidu.com                   39.156.66.10      0m0.036s  
114.114.114.114   10.0.0.22         icourse163.org              223.252.199.73    0m0.067s  
114.114.114.114   10.0.0.22         qq.com                      111.30.144.71     0m0.030s  
114.114.114.114   10.0.0.22         qq.com                      112.53.26.232     0m0.030s  
114.114.114.114   10.0.0.22         zhihu.com                   103.41.167.234    0m0.038s  
114.114.114.114   10.0.0.22         qq.com                      111.30.144.71     0m0.036s  
114.114.114.114   10.0.0.22         qq.com                      112.53.26.232     0m0.036s  
114.114.114.114   10.0.0.23         baidu.com                   110.242.68.66     0m0.048s  
114.114.114.114   10.0.0.23         baidu.com                   39.156.66.10      0m0.048s  
114.114.114.114   10.0.0.23         icourse163.org              223.252.199.73    0m0.062s  
114.114.114.114   10.0.0.23         qq.com                      111.30.144.71     0m0.050s  
114.114.114.114   10.0.0.23         qq.com                      112.53.26.232     0m0.050s  
114.114.114.114   10.0.0.23         zhihu.com                   103.41.167.234    0m0.044s  
114.114.114.114   10.0.0.23         qq.com                      112.53.26.232     0m0.036s  
114.114.114.114   10.0.0.23         qq.com                      111.30.144.71     0m0.036s  
114.114.114.114   10.0.0.21         baidu.com                   39.156.66.10      0m0.045s  
114.114.114.114   10.0.0.21         baidu.com                   110.242.68.66     0m0.045s  
114.114.114.114   10.0.0.21         icourse163.org              223.252.199.73    0m0.031s  
114.114.114.114   10.0.0.21         qq.com                      111.30.144.71     0m0.038s  
114.114.114.114   10.0.0.21         qq.com                      112.53.26.232     0m0.038s  
114.114.114.114   10.0.0.21         zhihu.com                   103.41.167.234    0m0.032s  
114.114.114.114   10.0.0.21         qq.com                      111.30.144.71     0m0.035s  
114.114.114.114   10.0.0.21         qq.com                      112.53.26.232     0m0.035s  
